ID;search_name;name;synonyms;formula;num_carbons;mol_weight;inchi;inchi_key;cas_rn;mol_refs;Tfus;Tboil;Pc;Tc;ρc;ΔfH°gas;ΔfH°liquid;ΔfH°solid
C111626;Ethyl Oleate;Ethyl Oleate;['9-Octadecenoic acid (Z)-, ethyl ester', 'Oleic acid, ethyl ester', '(Z)-9-Octadecenoic acid ethyl ester', 'Ethyl cis-9-octadecenoate', 'Ethyl Z-9-octadecenoate', 'Ethyl (9Z)-9-octadecenoate', 'Ethyl oleate 1'];C20H38O2;20;310.5145;InChI=1S/C20H38O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h11-12H,3-10,13-19H2,1-2H3/b12-11-;LVGKNOAMLMIIKO-QXMHVHEDSA-N;111-62-6;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C111626', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C111626'};293.15;479.7;;;;;;
C22393868;Cetyl Oleate;9-Octadecenoic acid (Z)-, hexadecyl ester;['Oleic acid, hexadecyl ester', 'Cetyl oleate', 'Hexadecyl oleate', 'Palmityl oleate', 'Octadec-9-enoic acid hexadecyl ester, Z'];C34H66O2;34;506.8866;InChI=1S/C34H66O2/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34(35)36-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h17,19H,3-16,18,20-33H2,1-2H3/b19-17-;JYTMDBGMUIAIQH-ZPHPHTNESA-N;22393-86-8;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C22393868'};;;;;;;;
C3624122;n-propyl Stearate;n-propyl stearate;[];C21H42O2;21;326.557;InChI=1S/C21H42O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21(22)23-20-4-2/h3-20H2,1-2H3;BTAXGNQLYFDKEF-UHFFFAOYSA-N;3624-12-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C3624122', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C3624122'};;;;;;;;
C112618;Methyl Stearate;Methyl stearate;['Octadecanoic acid, methyl ester', 'Stearic acid, methyl ester', 'n-Octadecanoic acid, methyl ester', 'Kemester 9718', 'Methyl n-octadecanoate', 'Methyl octadecanoate', 'Metholene 2218', 'Emery 2218', 'Kemester 9018', 'Methyl ester of octadecanoic acid', 'Kemester 4516', 'NSC 9418', '172226-13-0', '172226-14-1', '218433-32-0', '28:0, Me ester'];C19H38O2;19;298.5038;InChI=1S/C19H38O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h3-18H2,1-2H3;HPEUJPJOZXNMSJ-UHFFFAOYSA-N;112-61-8;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C112618', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C112618'};311.36;;;;;;;
C111615;Ethyl Stearate;Octadecanoic acid, ethyl ester;['Stearic acid, ethyl ester', 'Ethyl n-octadecanoate', 'Ethyl octadecanoate', 'Ethyl stearate', 'Radia 7185', 'Ethyl ocatadecanoate', 'Ethyl octadecanoate (Ethyl stearate)'];C20H40O2;20;312.5304;InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3;MVLVMROFTAUDAG-UHFFFAOYSA-N;111-61-5;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C111615', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C111615'};305.8;;;;;;;
C123955;Butyl Stearate;Octadecanoic acid, butyl ester;['Stearic acid, butyl ester', 'n-Butyl octadecanoate', 'n-Butyl stearate', 'Apex 4', 'Butyl octadecanoate', 'Butyl stearate', 'Emerest 2325', 'Groco 5810', 'Kessco BSC', 'Kesscoflex BS', 'Polycizer 332', 'RC Plasticizer B-17', 'Starfol BS-100', 'Tegester butyl stearate', 'Wickenol 122', 'Witcizer 200', 'Witcizer 201', 'BS', 'Uniflex bys', 'ADK STAB LS-8', 'Kemester 5510', 'Kessco BS', 'Oleo-Coll LP', 'Oleoyl sarcosine', 'Priolube 1451', 'Radia 7051', 'Uniflex BYS-tech', 'Unimate BYS', 'Witconol 2326', 'NSC 4820'];C22H44O2;22;340.5836;InChI=1S/C22H44O2/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22(23)24-21-6-4-2/h3-21H2,1-2H3;ULBTUVJTXULMLP-UHFFFAOYSA-N;123-95-5;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C123955'};;;;;;;;
C627883;Isopentyl Stearate;Octadecanoic acid, 3-methylbutyl ester;['Isopentyl stearate'];C23H46O2;23;354.6101;InChI=1S/C23H46O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(24)25-21-20-22(2)3/h22H,4-21H2,1-3H3;WDQOEAOLRIMQDA-UHFFFAOYSA-N;627-88-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C627883'};;;;;;;;
C112107;Isopropyl Stearate;Isopropyl stearate;['Octadecanoic acid, 1-methylethyl ester', 'Stearic acid, isopropyl ester', '1-Methylethyl octadecanoate', 'Wickenol 127', 'Octadecanoic acid, isopropyl ester', 'Revenge', 'Tegosoft S'];C21H42O2;21;326.557;InChI=1S/C21H42O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21(22)23-20(2)3/h20H,4-19H2,1-3H3;ZPWFUIUNWDIYCJ-UHFFFAOYSA-N;112-10-7;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C112107', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C112107'};;;;;;;;
C104074;Cyclohexyl Stearate;Cyclohexyl stearate;[];C24H46O2;24;366.6208;InChI=1S/C24H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-22-24(25)26-23-20-17-16-18-21-23/h23H,2-22H2,1H3;NRVKWKPZZQHRSP-UHFFFAOYSA-N;104-07-4;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C104074'};;;;;;;;
C1190632;Cetyl Stearate;Cetyl stearate;['Octadecanoic acid, hexadecyl ester', 'Stearic acid, hexadecyl ester', 'Hexadecyl octadecanoate', 'Hexadecyl stearate', 'Wickenol 121', 'n-Hexadecyl stearate', 'Schercemol CS', 'Palmityl stearate'];C34H68O2;34;508.9025;InChI=1S/C34H68O2/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34(35)36-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h3-33H2,1-2H3;SSZBUIDZHHWXNJ-UHFFFAOYSA-N;1190-63-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C1190632'};330.0;;;;;;;
C2315686;n-propyl Benzoate;n-Propyl benzoate;['Propyl benzoate', 'Benzoic acid n-propyl ester', 'Benzoic acid, propyl ester', 'Benzoate de propyle', 'Propyl benzenecarboxylate'];C10H12O2;10;164.2011;InChI=1S/C10H12O2/c1-2-8-12-10(11)9-6-4-3-5-7-9/h3-7H,2,8H2,1H3;UDEWPOVQBGFNGE-UHFFFAOYSA-N;2315-68-6;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C2315686', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C2315686'};;503.7;;;;;;
C93583;Methyl Benzoate;Benzoic acid, methyl ester;['Methyl benzoate', 'Clorius', 'Methyl benzenecarboxylate', 'Niobe oil', 'Oil of Niobe', 'Essence of niobe', 'Methylester kyseliny benzoove', 'Oxidate le', 'UN 2938', 'Methyl ester of benzoic acid', 'Oniobe oil', 'NSC 9394'];C8H8O2;8;136.1479;InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3;QPJVMBTYPHYUOC-UHFFFAOYSA-N;93-58-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C93583', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C93583'};260.8;472.4;;;;-284.55;-333.9;
C93890;Ethyl Benzoate;Benzoic acid, ethyl ester;['Ethyl benzenecarboxylate', 'Ethyl benzoate', 'Benzoic ether', 'Essence of niobe', 'Ethylester kyseliny benzoove', '2-methoxy-1-phenyl-ethanone'];C9H10O2;9;150.1745;InChI=1S/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3;MTZQAGJQAFMTAQ-UHFFFAOYSA-N;93-89-0;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C93890', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C93890'};239.0;485.0;;;;;;
C136607;Butyl Benzoate;Butyl benzoate;['Benzoic acid, butyl ester', 'n-Butyl benzoate', 'Benzoic acid n-butyl ester', 'Anthrapole AZ', 'Butylester kyseliny benzoove', 'DAI CARI XBN', 'Butyl ester of benzoic acid', 'Hipochem B-3-M', 'Marvanol Carrier BB', 'NSC 8474'];C11H14O2;11;178.2277;InChI=1S/C11H14O2/c1-2-3-9-13-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3;XSIFPSYPOVKYCO-UHFFFAOYSA-N;136-60-7;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C136607', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C136607'};250.75;522.2;;;;;;
C939480;Isopropyl Benzoate;Benzoic acid, 1-methylethyl ester;['Benzoic acid, isopropyl ester', 'Isopropyl benzoate', 'Isopropylester kyseliny benzoove'];C10H12O2;10;164.2011;InChI=1S/C10H12O2/c1-8(2)12-10(11)9-6-4-3-5-7-9/h3-8H,1-2H3;FEXQDZTYJVXMOS-UHFFFAOYSA-N;939-48-0;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C939480', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C939480'};;491.21;;;;;;
C94462;Isopentyl Benzoate;1-Butanol, 3-methyl-, benzoate;['Isopentyl alcohol, benzoate', 'Isoamyl benzoate', 'Isopentyl benzoate', 'Benzoic acid isoamyl ester', 'Benzoic acid, isopentyl ester', 'Benzoic acid, 1-(3-methyl)butyl ester', '1-(3-Methyl)butyl benzoate', 'Benzoic acid, 3-methylbutyl ester', '3-Methyl-1-butyl benzoate', '3-Methylbutyl benzoate', '1-Butanol, 3-methyl-, 1-benzoate', 'NSC 9284'];C12H16O2;12;192.2542;InChI=1S/C12H16O2/c1-10(2)8-9-14-12(13)11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3;MLLAPOCBLWUFAP-UHFFFAOYSA-N;94-46-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C94462', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C94462'};;535.33;;;;;;
C93992;Phenyl Benzoate;Benzoic acid, phenyl ester;['Phenyl benzoate'];C13H10O2;13;198.2173;InChI=1S/C13H10O2/c14-13(11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H;FCJSHPDYVMKCHI-UHFFFAOYSA-N;93-99-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C93992', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C93992'};342.58;571.7;;;;-148.0;;-240.0
C2412739;Cyclohexyl Benzoate;Benzoic acid, cyclohexyl ester;['Cyclohexyl benzoate', 'Hexahydrophenyl benzoate'];C13H16O2;13;204.2649;InChI=1S/C13H16O2/c14-13(11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1,3-4,7-8,12H,2,5-6,9-10H2;DQZKGSRJOUYVPL-UHFFFAOYSA-N;2412-73-9;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C2412739', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C2412739'};;;;;;;;
C614186;Ethyl Nicotinate;Ethyl nicotinate;['3-Pyridinecarboxylic acid, ethyl ester', 'Nicotinic acid, ethyl ester', 'β-Pyridinecarboxylic acid ethyl ester', 'Ba 2673', 'Ethyl 3-pyridinecarboxylate', 'Ignicut', 'Ignocut', 'Mucotherm', 'Nicaethan', 'Nikethan', 'Nikithan', '3-(Ethoxycarbonyl)pyridine', '3-Carbethoxypyridine', 'NSC 8872'];C8H9NO2;8;151.1626;InChI=1S/C8H9NO2/c1-2-11-8(10)7-4-3-5-9-6-7/h3-6H,2H2,1H3;XBLVHTDFJBKJLG-UHFFFAOYSA-N;614-18-6;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C614186'};;497.2;;;;;;
C93607;Methyl Nicotinate;Methyl nicotinate;['3-Pyridinecarboxylic acid, methyl ester', 'Nicotinic acid, methyl ester', 'Methyl 3-pyridinecarboxylate', 'Nicometh', 'Nikomet', '3-(Methoxycarbonyl)pyridine', 'Methyl ester of pyridine-3-carboxylic acid', '3-(Carbomethoxy)pyridine', 'm-(Methoxycarbonyl)pyridine', 'NSC 13126', '123574-61-8'];C7H7NO2;7;137.136;InChI=1S/C7H7NO2/c1-10-7(9)6-3-2-4-8-5-6/h2-5H,1H3;YNBADRVTZLEFNH-UHFFFAOYSA-N;93-60-7;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C93607', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C93607'};;479.7;;;;;;
C6938063;Butyl Nicotinate;Butyl nicotinate;['n-Butyl nicotinate', 'Butyl 3-pyridinecarboxylate', 'Nicotinic acid n-butyl ester', '3-Pyridinecarboxylic acid, butyl ester', 'Ba 2674', 'Nicotinic acid butyl ester'];C10H13NO2;10;179.2157;InChI=1S/C10H13NO2/c1-2-3-7-13-10(12)9-5-4-6-11-8-9/h4-6,8H,2-3,7H2,1H3;DQULIMIQTCDUAN-UHFFFAOYSA-N;6938-06-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C6938063', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C6938063'};;;;;;;;
C553606;Isopropyl Nicotinate;Isopropyl nicotinate;['3-Pyridinecarboxylic acid, 1-methylethyl ester', 'Nicotinic acid, isopropyl ester', 'Nipyl'];C9H11NO2;9;165.1891;InChI=1S/C9H11NO2/c1-7(2)12-9(11)8-4-3-5-10-6-8/h3-7H,1-2H3;VSRSQDMWBSKNSF-UHFFFAOYSA-N;553-60-6;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C553606', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C553606'};;;;;;;;
C108883;Toluene;Toluene;['Benzene, methyl', 'Methacide', 'Methylbenzene', 'Methylbenzol', 'Phenylmethane', 'Antisal 1a', 'Toluol', 'Methane, phenyl-', 'NCI-C07272', 'Tolueen', 'Toluen', 'Toluolo', 'Rcra waste number U220', 'Tolu-sol', 'UN 1294', 'Dracyl', 'Monomethyl benzene', 'CP 25', 'NSC 406333', 'methylbenzene (toluene)'];C7H8;7;92.1384;InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3;YXFVVABEGXRONW-UHFFFAOYSA-N;108-88-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C108883', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C108883'};178.1;383.8;41.0;593.0;3.16;49.37;12.0;
C142825;n-heptane;Heptane;['n-Heptane', 'Dipropylmethane', 'Heptyl hydride', 'Skellysolve C', 'n-C7H16', 'Eptani', 'Heptan', 'Heptanen', 'Gettysolve-C', 'NSC 62784'];C7H16;7;100.2019;InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3;IMNFDUFMRHMDMM-UHFFFAOYSA-N;142-82-5;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C142825', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C142825'};182.6;371.5;27.4;540.0;2.35;-188.55;-225.15;
