ID;search_name;name;synonyms;formula;num_carbons;mol_weight;inchi;inchi_key;cas_rn;mol_refs;Tfus;Tboil;Pc;Tc;ρc;ΔfH°gas;ΔfH°liquid;ΔfH°solid
C140885;Ethyl Acrylate;2-Propenoic acid, ethyl ester;"['Acrylic acid ethyl ester', 'Ethyl acrylate', 'Ethyl propenoate', 'Ethyl 2-propenoate', 'CH2=CHCOOC2H5', ""Acrylate d'ethyle"", 'Acrylic acid, ethyl ester (inhibited)', 'Ethyl acrylate, inhibited', 'Ethylacrylaat', 'Ethylakrylat', 'Etil acrilato', 'Etilacrilatului', 'NCI-C50384', 'Acrylsaeureaethylester', 'Aethylacrylat', 'Akrylanem etylu', 'Carboset 511', 'Ethoxycarbonylethylene', 'Ethylester kyseliny akrylove', 'Rcra waste number U113', 'Ethyl ester of 2-propenoic acid', 'NSC 8263']";C5H8O2;5;100.1158;InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3;JIGUQPWFLRLWPJ-UHFFFAOYSA-N;140-88-5;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C140885', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C140885'};;372.83;;;;-337.8;-377.0;
C141322;Butyl Acrylate;2-Propenoic acid, butyl ester;['Acrylic acid butyl ester', 'n-Butyl acrylate', 'Acrylic acid, n-butyl ester', 'Butyl acrylate', 'Butyl 2-propenoate', 'n-Butyl propenoate', 'Butylacrylate, inhibited', 'Butylester kyseliny akrylove', 'UN 2348'];C7H12O2;7;128.169;InChI=1S/C7H12O2/c1-3-5-6-9-7(8)4-2/h4H,2-3,5-6H2,1H3;CQEYYJKEWSMYFG-UHFFFAOYSA-N;141-32-2;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C141322', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C141322'};209.5;419.2;45.4;644.0;2.34;-378.2;-425.5;
C689123;Isopropyl Acrylate;Isopropyl acrylate;['2-Propenoic acid, 1-methylethyl ester', 'Acrylic acid, isopropyl ester', 'Isopropyl 2-propenoate', 'Isopropyl ester of 2-propenoic acid', '2-Propenoic acid,isopropyl ester'];C6H10O2;6;114.1424;InChI=1S/C6H10O2/c1-4-6(7)8-5(2)3/h4-5H,1H2,2-3H3;LYBIZMNPXTXVMV-UHFFFAOYSA-N;689-12-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C689123', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C689123'};;383.0;;;;;;
C4245356;Isopentyl Acrylate;Acrylic acid isoamyl ester;['2-Propenoic acid, 3-methylbutyl ester', 'Isopentyl acrylate'];C8H14O2;8;142.1956;InChI=1S/C8H14O2/c1-4-8(9)10-6-5-7(2)3/h4,7H,1,5-6H2,2-3H3;ZVYGIPWYVVJFRW-UHFFFAOYSA-N;4245-35-6;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C4245356', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C4245356'};;;;;;;;
C111115;Methyl Caprylate;Octanoic acid, methyl ester;['Caprylic acid methyl ester', 'Methyl caprylate', 'Methyl n-octanoate', 'Methyl octanoate', 'Uniphat A20', 'n-Caprylic acid methyl ester', 'Methyl ester of octanoic acid', 'Methyl ester octanoic acid'];C9H18O2;9;158.238;InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3;JGHZJRVDZXSNKQ-UHFFFAOYSA-N;111-11-5;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C111115', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C111115'};236.5;466.59;;;;;;
C106321;Ethyl Caprylate;Octanoic acid, ethyl ester;['Ethyl caprylate', 'Ethyl octanoate', 'Ethyl octoate', 'Ethyl n-octanoate', 'Caprylic acid ethyl ester', 'n-Caprylic acid ethyl ester', 'Ethyl octylate', 'Ethyl ester of octanoic acid', 'octanoic acid ethyl ester (ethyl octanoate)', 'Ethyl ester octanoic acid'];C10H20O2;10;172.2646;InChI=1S/C10H20O2/c1-3-5-6-7-8-9-10(11)12-4-2/h3-9H2,1-2H3;YYZUSRORWSJGET-UHFFFAOYSA-N;106-32-1;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C106321', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C106321'};228.4;482.07;;653.86;;-570.0;-629.5;
C5458593;Isopropyl Caprylate;n-Octanoic acid isopropyl ester;['Octanoic acid, 1-methylethyl ester', 'Octanoic acid, isopropyl ester', 'iso-Propyl n-octanoate', 'Isopropyl octanoate', '2-Propyl octanoate', 'Isopropyl caprylate'];C11H22O2;11;186.2912;InChI=1S/C11H22O2/c1-4-5-6-7-8-9-11(12)13-10(2)3/h10H,4-9H2,1-3H3;WCGIIHOFOFCKSM-UHFFFAOYSA-N;5458-59-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C5458593'};;;;;;;;
C589753;Butyl Caprylate;Butyl caprylate;['Caprylic acid n-butyl ester', 'n-Caprylic acid n-butyl ester', 'Octanoic acid, butyl ester', 'n-Butylcaprylate', 'Butyl octanoate', 'n-Butyl n-octanoate', 'n-Butyl octanoate'];C12H24O2;12;200.3178;InChI=1S/C12H24O2/c1-3-5-7-8-9-10-12(13)14-11-6-4-2/h3-11H2,1-2H3;PSXNDMJWRZYVTM-UHFFFAOYSA-N;589-75-3;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C589753', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C589753'};230.25;515.93;;;;;;
C1551424;Cyclohexyl Caprylate;Octanoic acid, cyclohexyl ester;['Cyclohexyl caprylate'];C14H26O2;14;226.355;InChI=1S/C14H26O2/c1-2-3-4-5-9-12-14(15)16-13-10-7-6-8-11-13/h13H,2-12H2,1H3;TXWXLLMVRVKQSO-UHFFFAOYSA-N;1551-42-4;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C1551424', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C1551424'};;;;;;;;
C110429;Methyl Caprate;Decanoic acid, methyl ester;['Capric acid methyl ester', 'Metholene 2095', 'Methyl caprate', 'Methyl caprinate', 'Methyl decanoate', 'Methyl-n-caprate', 'Uniphat A30', 'Methyl n-decanoate', 'n-Capric acid methyl ester'];C11H22O2;11;186.2912;InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-11(12)13-2/h3-10H2,1-2H3;YRHYCMZPEVDGFQ-UHFFFAOYSA-N;110-42-9;{'mol2D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str2File=C110429', 'mol3D': 'https://webbook.nist.gov/cgi/cbook.cgi?Str3File=C110429'};260.4;497.12;;;;;;
